graph,n,m,algorithm,median_ms,check,notes
random d=16,65536,1048576,dijkstra-csr (new),47.102,ok,""
random d=16,65536,1048576,dijkstra (repo),47.061,ok,""
random d=16,65536,1048576,dijkstra-4ary (new),26.910,ok,""
random d=16,65536,1048576,improved-v1 (repo),46.482,ok,""
random d=16,65536,1048576,improved-v2 (repo),50.391,ok,""
random d=16,65536,1048576,core (repo),72.532,ok,""
random d=16,65536,1048576,dmm25 (new),2462.085,ok,"N'=2097152 k=2 t=7 L=3 relax/m=17.47 pre=92ms"
random d=16,65536,1048576,chd t0=16 (new),150.524,ok,"N'=65536 k=4 t=16 L=2 relax/m=1.00 del=0 pre=76ms formal=Bellman-Ford"
random d=16,65536,1048576,chd t0=4 (new),159.911,ok,"N'=65536 k=2 t=4 L=5 relax/m=1.00 del=7854 pre=77ms formal=Bellman-Ford"
random d=2,262144,524288,dijkstra-csr (new),88.949,ok,""
random d=2,262144,524288,dijkstra (repo),70.909,ok,""
random d=2,262144,524288,dijkstra-4ary (new),81.202,ok,""
random d=2,262144,524288,improved-v1 (repo),66.649,ok,""
random d=2,262144,524288,improved-v2 (repo),79.364,ok,""
random d=2,262144,524288,core (repo),129.283,ok,""
random d=2,262144,524288,dmm25 (new),1137.583,ok,"N'=1048576 k=2 t=7 L=3 relax/m=15.38 pre=44ms"
random d=2,262144,524288,chd t0=16 (new),223.056,ok,"N'=226646 k=4 t=16 L=2 relax/m=0.80 del=0 pre=60ms formal=C-HD"
random d=2,262144,524288,chd t0=4 (new),224.382,ok,"N'=226646 k=3 t=5 L=4 relax/m=0.81 del=14367 pre=56ms formal=C-HD"
random d=5,262144,1310720,dijkstra-csr (new),200.214,ok,""
random d=5,262144,1310720,dijkstra (repo),158.662,ok,""
random d=5,262144,1310720,dijkstra-4ary (new),134.993,ok,""
random d=5,262144,1310720,improved-v1 (repo),155.239,ok,""
random d=5,262144,1310720,improved-v2 (repo),188.562,ok,""
random d=5,262144,1310720,core (repo),277.786,ok,""
random d=5,262144,1310720,dmm25 (new),3856.565,ok,"N'=2621440 k=2 t=7 L=4 relax/m=20.62 pre=165ms"
random d=5,262144,1310720,chd t0=16 (new),384.088,ok,"N'=260397 k=4 t=16 L=2 relax/m=0.99 del=0 pre=116ms formal=C-HD"
